Ilość epok,animals,grass,avgEnergy,avgAge,avgChildren
0,20.0,2.0,47.0,0.0,0.0
1,20.0,4.0,44.0,0.0,0.0
2,21.0,5.0,43.666666666666664,0.0,0.09523809523809523
3,22.0,6.0,43.5,0.0,0.18181818181818182
4,23.0,8.0,40.04347826086956,0.0,0.2608695652173913
5,25.0,9.0,38.76,0.0,0.4
6,26.0,11.0,34.96153846153846,0.0,0.46153846153846156
7,27.0,13.0,31.11111111111111,0.0,0.5185185185185185
8,27.0,15.0,28.037037037037038,5.0,0.5925925925925926
9,28.0,17.0,24.035714285714285,5.0,0.6428571428571429
10,27.0,19.0,22.074074074074073,6.5,0.6666666666666666
11,25.0,21.0,20.84,7.5,0.6
12,25.0,22.0,21.84,7.5,0.6
13,23.0,23.0,25.17391304347826,7.833333492279053,0.6086956521739131
14,21.0,24.0,30.61904761904762,9.0,0.6666666666666666
15,21.0,26.0,28.571428571428573,8.899999618530273,0.7619047619047619
16,20.0,27.0,33.1,9.166666984558105,0.75
17,12.0,29.0,54.916666666666664,12.727272987365723,1.5833333333333333
18,14.0,31.0,44.357142857142854,12.727272987365723,1.6428571428571428
19,15.0,33.0,39.53333333333333,12.727272987365723,1.6666666666666667
20,16.0,35.0,34.8125,12.727272987365723,1.6875
21,17.0,37.0,30.176470588235293,12.727272987365723,1.7058823529411764
22,17.0,37.0,39.0,12.727272987365723,1.7058823529411764
23,16.0,39.0,38.4375,12.391304016113281,1.8125
24,16.0,41.0,37.1875,12.125,1.9375
25,15.0,43.0,37.8,11.884614944458008,2.1333333333333333
26,17.0,45.0,32.529411764705884,11.884614944458008,2.1176470588235294
27,16.0,47.0,31.9375,12.071428298950195,2.375
28,15.0,48.0,37.733333333333334,11.931034088134766,2.533333333333333
29,13.0,50.0,40.61538461538461,12.483870506286621,2.230769230769231
30,12.0,52.0,41.166666666666664,13.03125,1.1666666666666667
31,11.0,54.0,42.0,13.0,1.2727272727272727
32,10.0,56.0,43.2,12.764705657958984,1.4
33,10.0,58.0,40.4,12.764705657958984,1.4
34,9.0,60.0,42.0,12.628571510314941,1.5555555555555556
35,8.0,62.0,44.25,12.583333015441895,1.25
36,8.0,64.0,41.25,12.583333015441895,1.25
37,7.0,66.0,44.142857142857146,12.567567825317383,1.4285714285714286
38,7.0,67.0,55.42857142857143,12.567567825317383,1.4285714285714286
39,7.0,69.0,52.42857142857143,12.567567825317383,1.4285714285714286
40,7.0,71.0,49.42857142857143,12.567567825317383,1.4285714285714286
41,7.0,73.0,46.42857142857143,12.567567825317383,1.4285714285714286
42,6.0,73.0,84.5,12.6578950881958,1.6666666666666667
43,6.0,74.0,98.16666666666667,12.6578950881958,1.6666666666666667
44,6.0,74.0,128.5,12.6578950881958,1.6666666666666667
45,6.0,76.0,125.5,12.6578950881958,1.6666666666666667
46,6.0,78.0,122.5,12.6578950881958,1.6666666666666667
